ID;name;position;shirtNo;birthDate;team_ID
1;Kylian Mbappé;Forward;10;1998-12-20;4
2;İlkay Gündoğan;Midfielder;21;1990-10-24;5
3;Vinícius Júnior;Forward;7;2000-07-12;2
4;Aurélien Tchouaméni;Midfielder;8;2000-01-27;4
5;Julián Álvarez;Forward;9;2000-01-31;1
6;Lamine Yamal;Forward;19;2007-07-13;3
7;Bukayo Saka;Forward;7;2001-09-05;6
8;Antonio Rüdiger;Defender;2;1993-03-03;5
